5.117187500000000000e-01 1.642835140228271484e+00 6.562500000000000000e-01 1.512458801269531250e+00 1.020654892921447754e+01
7.031250000000000000e-01 9.355318546295166016e-01 7.792968750000000000e-01 8.416256308555603027e-01 3.391001224517822266e-01
7.822265625000000000e-01 7.290757894515991211e-01 8.496093750000000000e-01 6.041634678840637207e-01 3.339660167694091797e-01
8.310546875000000000e-01 5.546923875808715820e-01 8.730468750000000000e-01 5.095980167388916016e-01 3.338687419891357422e-01
8.457031250000000000e-01 4.794563651084899902e-01 8.808593750000000000e-01 4.629300236701965332e-01 3.189284801483154297e-01
8.525390625000000000e-01 4.799263775348663330e-01 8.808593750000000000e-01 4.220881462097167969e-01 3.098661899566650391e-01
8.398437500000000000e-01 4.801488816738128662e-01 8.906250000000000000e-01 3.802995085716247559e-01 3.047502040863037109e-01
8.613281250000000000e-01 4.280608892440795898e-01 8.964843750000000000e-01 3.668580055236816406e-01 4.056935310363769531e-01
8.847656250000000000e-01 3.994644880294799805e-01 8.906250000000000000e-01 3.486155271530151367e-01 3.835287094116210938e-01
8.876953125000000000e-01 3.594761490821838379e-01 8.886718750000000000e-01 3.285425305366516113e-01 3.081505298614501953e-01
8.837890625000000000e-01 3.615505993366241455e-01 9.082031250000000000e-01 3.159944713115692139e-01 3.204140663146972656e-01
9.052734375000000000e-01 3.157573342323303223e-01 9.042968750000000000e-01 2.989664971828460693e-01 3.351042270660400391e-01
9.013671875000000000e-01 3.100431561470031738e-01 9.101562500000000000e-01 2.953868508338928223e-01 3.331449031829833984e-01
9.013671875000000000e-01 3.657789230346679688e-01 9.003906250000000000e-01 2.861183583736419678e-01 3.333513736724853516e-01
9.062500000000000000e-01 3.435581326484680176e-01 9.160156250000000000e-01 2.680821716785430908e-01 3.325955867767333984e-01
9.072265625000000000e-01 3.073191046714782715e-01 9.082031250000000000e-01 2.620429396629333496e-01 3.334050178527832031e-01
